Concentration [µg/mL];Replicate;Absorbance;Method;Operator;Date
125;12;0,425700009;singlepipette;S2;08/10/2025
25;12;0,196099997;singlepipette;S2;08/10/2025
0;12;0,141399994;singlepipette;S2;08/10/2025
2000;13;2,765300035;singlepipette;S2;08/10/2025
1500;13;2,063999891;singlepipette;S2;08/10/2025
1000;13;0,676199973;singlepipette;S2;08/10/2025
750;13;1,241799951;singlepipette;S2;08/10/2025
500;13;1,047899961;singlepipette;S2;08/10/2025
250;13;0,690500021;singlepipette;S2;08/10/2025
125;13;0,441500008;singlepipette;S2;08/10/2025
25;13;0,200800002;singlepipette;S2;08/10/2025
0;13;0,142900005;singlepipette;S2;08/10/2025
2000;14;2,827300072;singlepipette;S2;08/10/2025
1500;14;1,440700054;singlepipette;S2;08/10/2025
1000;14;0,631900012;singlepipette;S2;08/10/2025
750;14;1,110499978;singlepipette;S2;08/10/2025
500;14;1,029299974;singlepipette;S2;08/10/2025
250;14;0,689400017;singlepipette;S2;08/10/2025
125;14;0,462099999;singlepipette;S2;08/10/2025
25;14;0,207300007;singlepipette;S2;08/10/2025
0;14;0,141399994;singlepipette;S2;08/10/2025
2000;1;2,377899885;multipipette;S1;09/10/2025
1500;1;1,637699962;multipipette;S1;09/10/2025
1000;1;1,331400037;multipipette;S1;09/10/2025
750;1;1,064700007;multipipette;S1;09/10/2025
500;1;0,732900023;multipipette;S1;09/10/2025
250;1;0,440499991;multipipette;S1;09/10/2025
125;1;0,292699993;multipipette;S1;09/10/2025
25;1;0,131300002;multipipette;S1;09/10/2025
0;1;0,109800003;multipipette;S1;09/10/2025
2000;2;2,281800032;multipipette;S1;09/10/2025
1500;2;1,581900001;multipipette;S1;09/10/2025
1000;2;1,228899956;multipipette;S1;09/10/2025
750;2;1,028900027;multipipette;S1;09/10/2025
500;2;0,726800025;multipipette;S1;09/10/2025
250;2;0,435099989;multipipette;S1;09/10/2025
125;2;0,296900004;multipipette;S1;09/10/2025
25;2;0,120300002;multipipette;S1;09/10/2025
0;2;0,111599997;multipipette;S1;09/10/2025
2000;3;2,351900101;multipipette;S1;09/10/2025
1500;3;1,683200002;multipipette;S1;09/10/2025
1000;3;1,137799978;multipipette;S1;09/10/2025
750;3;1,065799952;multipipette;S1;09/10/2025
500;3;0,703999996;multipipette;S1;09/10/2025
250;3;0,462799996;multipipette;S1;09/10/2025
125;3;0,283800006;multipipette;S1;09/10/2025
25;3;0,132400006;multipipette;S1;09/10/2025
0;3;0,110100001;multipipette;S1;09/10/2025
2000;4;2,346800089;multipipette;S1;09/10/2025
1500;4;1,658800006;multipipette;S1;09/10/2025
1000;4;1,258599997;multipipette;S1;09/10/2025
750;4;1,015900016;multipipette;S1;09/10/2025
500;4;0,770299971;multipipette;S1;09/10/2025
250;4;0,450700015;multipipette;S1;09/10/2025
125;4;0,295899987;multipipette;S1;09/10/2025
25;4;0,128099993;multipipette;S1;09/10/2025
0;4;0,109800003;multipipette;S1;09/10/2025
2000;5;1,970700026;multipipette;S1;09/10/2025
1500;5;1,67900002;multipipette;S1;09/10/2025
1000;5;1,315799952;multipipette;S1;09/10/2025
750;5;1,023699999;multipipette;S1;09/10/2025
500;5;0,784799993;multipipette;S1;09/10/2025
250;5;0,465600014;multipipette;S1;09/10/2025
125;5;0,295399994;multipipette;S1;09/10/2025
25;5;0,129800007;multipipette;S1;09/10/2025
0;5;0,1131;multipipette;S1;09/10/2025
2000;6;2,49909997;multipipette;S1;09/10/2025
1500;6;1,779600024;multipipette;S1;09/10/2025
1000;6;1,202100039;multipipette;S1;09/10/2025
750;6;0,977100015;multipipette;S1;09/10/2025
500;6;0,75819999;multipipette;S1;09/10/2025
250;6;0,429399997;multipipette;S1;09/10/2025
125;6;0,287200004;multipipette;S1;09/10/2025
25;6;0,122299999;multipipette;S1;09/10/2025
0;6;0,1109;multipipette;S1;09/10/2025
2000;7;2,547600031;multipipette;S1;09/10/2025
1500;7;1,76849997;multipipette;S1;09/10/2025
1000;7;1,226500034;multipipette;S1;09/10/2025
750;7;1,03429997;multipipette;S1;09/10/2025
