Concentration [µg/mL];Replicate;Absorbance;Method;Operator;Date
125;9;0,3397;singlepipette;S3;09/02/2026
25;9;0,1273;singlepipette;S3;09/02/2026
0;9;0,0903;singlepipette;S3;09/02/2026
2000;10;2,8119;singlepipette;S3;09/02/2026
1500;10;2,4629;singlepipette;S3;09/02/2026
1000;10;1,6604;singlepipette;S3;09/02/2026
750;10;1,3232;singlepipette;S3;09/02/2026
500;10;0,9123;singlepipette;S3;09/02/2026
250;10;0,4655;singlepipette;S3;09/02/2026
125;10;0,3258;singlepipette;S3;09/02/2026
25;10;0,1342;singlepipette;S3;09/02/2026
0;10;0,0908;singlepipette;S3;09/02/2026
2000;11;3,0226;singlepipette;S3;09/02/2026
1500;11;2,2033;singlepipette;S3;09/02/2026
1000;11;1,6868;singlepipette;S3;09/02/2026
750;11;1,2719;singlepipette;S3;09/02/2026
500;11;0,9111;singlepipette;S3;09/02/2026
250;11;0,6159;singlepipette;S3;09/02/2026
125;11;0,316;singlepipette;S3;09/02/2026
25;11;0,1246;singlepipette;S3;09/02/2026
0;11;0,0909;singlepipette;S3;09/02/2026
2000;12;2,684;singlepipette;S3;09/02/2026
1500;12;1,498;singlepipette;S3;09/02/2026
1000;12;1,6397;singlepipette;S3;09/02/2026
750;12;1,2637;singlepipette;S3;09/02/2026
500;12;0,9341;singlepipette;S3;09/02/2026
250;12;0,5323;singlepipette;S3;09/02/2026
125;12;0,3011;singlepipette;S3;09/02/2026
25;12;0,1243;singlepipette;S3;09/02/2026
0;12;0,09;singlepipette;S3;09/02/2026
2000;13;2,6432;singlepipette;S3;10/02/2026
1500;13;2,1224;singlepipette;S3;10/02/2026
1000;13;1,5231;singlepipette;S3;10/02/2026
750;13;1,1678;singlepipette;S3;10/02/2026
500;13;0,8817;singlepipette;S3;10/02/2026
250;13;0,4409;singlepipette;S3;10/02/2026
125;13;0,316;singlepipette;S3;10/02/2026
25;13;0,1486;singlepipette;S3;10/02/2026
0;13;0,1131;singlepipette;S3;10/02/2026
2000;14;2,669;singlepipette;S3;10/02/2026
1500;14;2,136;singlepipette;S3;10/02/2026
1000;14;1,5488;singlepipette;S3;10/02/2026
750;14;1,2111;singlepipette;S3;10/02/2026
500;14;0,892;singlepipette;S3;10/02/2026
250;14;0,5675;singlepipette;S3;10/02/2026
125;14;0,3396;singlepipette;S3;10/02/2026
25;14;0,1497;singlepipette;S3;10/02/2026
0;14;0,1132;singlepipette;S3;10/02/2026
2000;15;2,6267;singlepipette;S3;10/02/2026
1500;15;2,3203;singlepipette;S3;10/02/2026
1000;15;1,6137;singlepipette;S3;10/02/2026
750;15;1,232;singlepipette;S3;10/02/2026
500;15;0,8778;singlepipette;S3;10/02/2026
250;15;0,5481;singlepipette;S3;10/02/2026
125;15;0,3415;singlepipette;S3;10/02/2026
25;15;0,1414;singlepipette;S3;10/02/2026
0;15;0,113;singlepipette;S3;10/02/2026
2000;16;2,955;singlepipette;S3;10/02/2026
1500;16;1,7688;singlepipette;S3;10/02/2026
1000;16;1,6332;singlepipette;S3;10/02/2026
750;16;1,2674;singlepipette;S3;10/02/2026
500;16;0,9567;singlepipette;S3;10/02/2026
250;16;0,535;singlepipette;S3;10/02/2026
125;16;0,3323;singlepipette;S3;10/02/2026
25;16;0,1647;singlepipette;S3;10/02/2026
0;16;0,1114;singlepipette;S3;10/02/2026
2000;17;2,7914;singlepipette;S3;10/02/2026
1500;17;2,1022;singlepipette;S3;10/02/2026
1000;17;1,5061;singlepipette;S3;10/02/2026
750;17;1,2526;singlepipette;S3;10/02/2026
500;17;0,8984;singlepipette;S3;10/02/2026
250;17;0,5358;singlepipette;S3;10/02/2026
125;17;0,3384;singlepipette;S3;10/02/2026
25;17;0,1485;singlepipette;S3;10/02/2026
0;17;0,1089;singlepipette;S3;10/02/2026
2000;18;2,8329;singlepipette;S3;10/02/2026
1500;18;2,0715;singlepipette;S3;10/02/2026
1000;18;1,5302;singlepipette;S3;10/02/2026
750;18;1,2283;singlepipette;S3;10/02/2026
500;18;0,9245;singlepipette;S3;10/02/2026
250;18;0,539;singlepipette;S3;10/02/2026
125;18;0,3458;singlepipette;S3;10/02/2026
25;18;0,1432;singlepipette;S3;10/02/2026
0;18;0,1137;singlepipette;S3;10/02/2026
2000;19;2,7039;singlepipette;S3;10/02/2026
1500;19;2,1001;singlepipette;S3;10/02/2026
1000;19;1,494;singlepipette;S3;10/02/2026
750;19;1,2413;singlepipette;S3;10/02/2026
500;19;0,8198;singlepipette;S3;10/02/2026
250;19;0,5334;singlepipette;S3;10/02/2026
125;19;0,3181;singlepipette;S3;10/02/2026
25;19;0,1479;singlepipette;S3;10/02/2026
0;19;0,1088;singlepipette;S3;10/02/2026
2000;20;2,6771;singlepipette;S3;10/02/2026
1500;20;2,0162;singlepipette;S3;10/02/2026
1000;20;1,5753;singlepipette;S3;10/02/2026
750;20;1,2614;singlepipette;S3;10/02/2026
500;20;0,8992;singlepipette;S3;10/02/2026
250;20;0,5349;singlepipette;S3;10/02/2026
125;20;0,3448;singlepipette;S3;10/02/2026
25;20;0,1516;singlepipette;S3;10/02/2026
0;20;0,1088;singlepipette;S3;10/02/2026
2000;21;2,6785;singlepipette;S3;10/02/2026
1500;21;2,1247;singlepipette;S3;10/02/2026
1000;21;1,5626;singlepipette;S3;10/02/2026
750;21;1,2021;singlepipette;S3;10/02/2026
500;21;0,8969;singlepipette;S3;10/02/2026
250;21;0,353;singlepipette;S3;10/02/2026
125;21;0,3396;singlepipette;S3;10/02/2026
25;21;0,1476;singlepipette;S3;10/02/2026
0;21;0,1101;singlepipette;S3;10/02/2026
2000;22;2,7271;singlepipette;S3;10/02/2026
1500;22;2,1525;singlepipette;S3;10/02/2026
1000;22;1,6242;singlepipette;S3;10/02/2026
750;22;1,2173;singlepipette;S3;10/02/2026
500;22;0,8958;singlepipette;S3;10/02/2026
250;22;0,5713;singlepipette;S3;10/02/2026
125;22;0,341;singlepipette;S3;10/02/2026
25;22;0,147;singlepipette;S3;10/02/2026
0;22;0,1097;singlepipette;S3;10/02/2026
2000;23;2,8437;singlepipette;S3;10/02/2026
1500;23;2,282;singlepipette;S3;10/02/2026
1000;23;1,5975;singlepipette;S3;10/02/2026
750;23;1,2706;singlepipette;S3;10/02/2026
500;23;0,9272;singlepipette;S3;10/02/2026
250;23;0,527;singlepipette;S3;10/02/2026
125;23;0,344;singlepipette;S3;10/02/2026
25;23;0,1494;singlepipette;S3;10/02/2026
0;23;0,1103;singlepipette;S3;10/02/2026
2000;24;2,8151;singlepipette;S3;10/02/2026
1500;24;2,3388;singlepipette;S3;10/02/2026
1000;24;1,6216;singlepipette;S3;10/02/2026
750;24;1,2275;singlepipette;S3;10/02/2026
500;24;1,0322;singlepipette;S3;10/02/2026
250;24;0,5202;singlepipette;S3;10/02/2026
125;24;0,3445;singlepipette;S3;10/02/2026
25;24;0,149;singlepipette;S3;10/02/2026
0;24;0,1102;singlepipette;S3;10/02/2026
2000;25;2,4108;multipipette;OT-2;20/03/2026
1500;25;1,6924;multipipette;OT-2;20/03/2026
1000;25;1,3297;multipipette;OT-2;20/03/2026
750;25;0,9326;multipipette;OT-2;20/03/2026
500;25;0,6046;multipipette;OT-2;20/03/2026
250;25;0,4081;multipipette;OT-2;20/03/2026
125;25;0,2373;multipipette;OT-2;20/03/2026
25;25;0,1176;multipipette;OT-2;20/03/2026
0;25;0,0841;multipipette;OT-2;20/03/2026
2000;26;2,0741;multipipette;OT-2;20/03/2026
1500;26;1,6127;multipipette;OT-2;20/03/2026
1000;26;1,2762;multipipette;OT-2;20/03/2026
750;26;0,9185;multipipette;OT-2;20/03/2026
500;26;0,6398;multipipette;OT-2;20/03/2026
250;26;0,3896;multipipette;OT-2;20/03/2026
125;26;0,2478;multipipette;OT-2;20/03/2026
25;26;0,1153;multipipette;OT-2;20/03/2026
0;26;0,085;multipipette;OT-2;20/03/2026
2000;27;2,1433;multipipette;OT-2;20/03/2026
1500;27;1,6505;multipipette;OT-2;20/03/2026
1000;27;1,1667;multipipette;OT-2;20/03/2026
750;27;0,95;multipipette;OT-2;20/03/2026
500;27;0,6141;multipipette;OT-2;20/03/2026
250;27;0,3876;multipipette;OT-2;20/03/2026
125;27;0,2417;multipipette;OT-2;20/03/2026
25;27;0,1131;multipipette;OT-2;20/03/2026
0;27;0,0879;multipipette;OT-2;20/03/2026
2000;28;2,2665;multipipette;OT-2;20/03/2026
1500;28;1,5931;multipipette;OT-2;20/03/2026
1000;28;1,2289;multipipette;OT-2;20/03/2026
750;28;0,9149;multipipette;OT-2;20/03/2026
500;28;0,5805;multipipette;OT-2;20/03/2026
250;28;0,4053;multipipette;OT-2;20/03/2026
125;28;0,243;multipipette;OT-2;20/03/2026
25;28;0,1122;multipipette;OT-2;20/03/2026
0;28;0,0855;multipipette;OT-2;20/03/2026
2000;29;2,0249;multipipette;OT-2;20/03/2026
1500;29;1,5481;multipipette;OT-2;20/03/2026
1000;29;1,1782;multipipette;OT-2;20/03/2026
750;29;0,9771;multipipette;OT-2;20/03/2026
500;29;0,5785;multipipette;OT-2;20/03/2026
250;29;0,3999;multipipette;OT-2;20/03/2026
125;29;0,2508;multipipette;OT-2;20/03/2026
25;29;0,1129;multipipette;OT-2;20/03/2026
0;29;0,086;multipipette;OT-2;20/03/2026
2000;30;2,1674;multipipette;OT-2;20/03/2026
1500;30;1,5877;multipipette;OT-2;20/03/2026
1000;30;1,1968;multipipette;OT-2;20/03/2026
750;30;0,9189;multipipette;OT-2;20/03/2026
500;30;0,5304;multipipette;OT-2;20/03/2026
250;30;0,3851;multipipette;OT-2;20/03/2026
125;30;0,2503;multipipette;OT-2;20/03/2026
25;30;0,1168;multipipette;OT-2;20/03/2026
0;30;0,0908;multipipette;OT-2;20/03/2026
2000;31;1,9427;multipipette;OT-2;20/03/2026
1500;31;1,5965;multipipette;OT-2;20/03/2026
1000;31;1,1722;multipipette;OT-2;20/03/2026
750;31;0,8816;multipipette;OT-2;20/03/2026
500;31;0,5461;multipipette;OT-2;20/03/2026
250;31;0,3966;multipipette;OT-2;20/03/2026
125;31;0,2455;multipipette;OT-2;20/03/2026
25;31;0,1162;multipipette;OT-2;20/03/2026
0;31;0,0873;multipipette;OT-2;20/03/2026
2000;32;2,2618;multipipette;OT-2;20/03/2026
1500;32;1,5665;multipipette;OT-2;20/03/2026
1000;32;1,1888;multipipette;OT-2;20/03/2026
750;32;0,9314;multipipette;OT-2;20/03/2026
500;32;0,6016;multipipette;OT-2;20/03/2026
250;32;0,4078;multipipette;OT-2;20/03/2026
125;32;0,2517;multipipette;OT-2;20/03/2026
25;32;0,1252;multipipette;OT-2;20/03/2026
0;32;0,0868;multipipette;OT-2;20/03/2026
